videoId,channelId
6V6nRr9YTA4,UCZCaRGGPtHFtp7X3FxtNKhA
rFsrdOHBcBU,UCZCaRGGPtHFtp7X3FxtNKhA
ajGCmKP7oV8,UCZCaRGGPtHFtp7X3FxtNKhA
YV-n3VoW5Sg,UCZCaRGGPtHFtp7X3FxtNKhA
vpjRHmZzrz4,UCZCaRGGPtHFtp7X3FxtNKhA
CCwTfu99hJQ,UCZCaRGGPtHFtp7X3FxtNKhA
O2gxB-Sutwc,UCZCaRGGPtHFtp7X3FxtNKhA
Pe1Xjk_bU_o,UCZCaRGGPtHFtp7X3FxtNKhA
KLvBbtjZ0kM,UCZCaRGGPtHFtp7X3FxtNKhA
dTWc3gsqgh8,UCZCaRGGPtHFtp7X3FxtNKhA
DZvl9T6nw9o,UCZCaRGGPtHFtp7X3FxtNKhA
an9fP8Xy2QE,UCZCaRGGPtHFtp7X3FxtNKhA
FWIZNVgKplA,UCZCaRGGPtHFtp7X3FxtNKhA
e893McDMBUw,UCZCaRGGPtHFtp7X3FxtNKhA
ER9dRNE7cy4,UCZCaRGGPtHFtp7X3FxtNKhA
RLV_yaYyQLk,UCZCaRGGPtHFtp7X3FxtNKhA
Zsda3ZMpo2g,UCZCaRGGPtHFtp7X3FxtNKhA
sjro931UJ_s,UCZCaRGGPtHFtp7X3FxtNKhA
AdZCGKTUsmc,UCZCaRGGPtHFtp7X3FxtNKhA
KAybdSF7Tes,UCZCaRGGPtHFtp7X3FxtNKhA
PQgcz3dERBE,UCZCaRGGPtHFtp7X3FxtNKhA
JiSUa6IJvVM,UCZCaRGGPtHFtp7X3FxtNKhA
xmMZUihhJuA,UCZCaRGGPtHFtp7X3FxtNKhA
6fbYGoF5kuk,UCZCaRGGPtHFtp7X3FxtNKhA
u1380qlsOxY,UCZCaRGGPtHFtp7X3FxtNKhA
OaUF-OQZj2c,UCZCaRGGPtHFtp7X3FxtNKhA
Mxb3_clOKmY,UCZCaRGGPtHFtp7X3FxtNKhA
BklL7rvW3Jc,UCZCaRGGPtHFtp7X3FxtNKhA
ZDqcRtzveME,UCZCaRGGPtHFtp7X3FxtNKhA
XX1k2GoepP4,UCZCaRGGPtHFtp7X3FxtNKhA
GGFrfU9pagk,UCZCaRGGPtHFtp7X3FxtNKhA
5-hvc4FxFD4,UCZCaRGGPtHFtp7X3FxtNKhA
c3YOBzubIXk,UCg9L-f72npTy7NtJJm5u7wA
ejLB6s5HvyI,UCZCaRGGPtHFtp7X3FxtNKhA
SXm83naB7A4,UCZCaRGGPtHFtp7X3FxtNKhA
LYqBjx7Qkec,UCZCaRGGPtHFtp7X3FxtNKhA
Fm8Ah1s_XtQ,UCZCaRGGPtHFtp7X3FxtNKhA
aNiRI7cIay8,UC8md0UEGj7UbjcZtMjBVrgQ
qMnfMdYRpoU,UCZCaRGGPtHFtp7X3FxtNKhA
K9dj8JYUZtk,UCZCaRGGPtHFtp7X3FxtNKhA
Ajl5vAzMjH4,UCZCaRGGPtHFtp7X3FxtNKhA
YWTmZwImH9o,UCZCaRGGPtHFtp7X3FxtNKhA
zg5yfG6QGNE,UCZCaRGGPtHFtp7X3FxtNKhA
bC59f3kX6-0,UCZCaRGGPtHFtp7X3FxtNKhA
VFL2OFDxrVc,UCZCaRGGPtHFtp7X3FxtNKhA
UyuTxXK5Bn8,UCZCaRGGPtHFtp7X3FxtNKhA
cthwYXeKwyg,UCZCaRGGPtHFtp7X3FxtNKhA
lh5Jttawd1E,UCZCaRGGPtHFtp7X3FxtNKhA
QlOZR9yRTnA,UCZCaRGGPtHFtp7X3FxtNKhA
bAb_oqmqyVA,UCZCaRGGPtHFtp7X3FxtNKhA
Yopyn3h9QaY,UCsAQay7tqDU7zBlpUyIef1Q
fur0aqofNaA,UCObH5RFgF_8vaQnGPof5g4Q
dvH-aX2dBXI,UC0nmIyZuiiIJ-ekUzzNnYnA
mRmkquXfQrY,UC4wv642fwlj6_Fm3k1byRVA
LzjIPnKB_PM,UC2svIP2CKYniEu_zYXaYDEw
8qxK5mnmqgE,UCdt_8VcD1Z_voDpdt1KPmBw
Dam7hWiVkXo,UCG5Vo07FPDLZ23PeuCrBiPQ
SZDaFZSUUXA,UCpM5t8JMWjF7UkKcjCme3pg
ph-U9LIDUUA,UC0Y4ni4YoIQMS5vJapWi-vg
uPpH6DrbAr8,UCeCAGuhnFHvsKM-wNa_bklg
nmmtlDA1kaY,UCWENB1OaGA9402PKzEVl0ow
Uclo-QfZG1c,UCFuFHFgHPya17g6lbKrlCXg
h_njDnvpSq4,UCs0upBDG-dCAxy8_VDPE5XA
E1-l10DQbMQ,UC7XFgbOyFBoGxssEwGvkKig
TUmTLubTJhk,UCmTNyJ364XS4xKdXbOVtAJA
xlzSTo5_6L4,UCZA2NJWgiWtLQZPfMhhEZUQ
7sTEQdzTbDY,UC_cwraUz4UNzQd3BdNIf0Nw
T8KjscWaG1c,UCICYGFe5D8C0SpAYterILsw
QbSdRwhGaCM,UCFNsO8QZ5LYdzP_CftymJhg
vRpib_erBf0,UC1ASwpZj8T6fMLMzawqV7qg
z6tFkq2WtTI,UCTYPI3osBN9nGTSbYGm0rIQ
3VNkSFwfJ8Y,UCintIUOJEktQBfhEI9XXpuw
59gMPQguIyU,UCIvidT4yfDxXROfbor1pNaw
V4LnorVVxfw,UCKy3MG7_If9KlVuvw3rPMfw
HO78wvoL_cc,UCTYPI3osBN9nGTSbYGm0rIQ
Tc_xTQ1oMFQ,UC1yBKRuGpC1tSM73A0ZjYjQ
Nw-_VhH5vS4,UCVJ0PKchCadH0YS5-MPpvkA
RqB14q0Izv8,UCYLlkv4hivYJlOk6Lo-RHNQ
A9ZXg_XYdlM,UCGiSCVGNukLqv8hwpKCsQKQ
44yVenFd4PM,UCI5lrYVm4ctqxEHG4HgvdRA
q4-1Vsr4wRQ,UC7QH5tlStaNa8ZVvAEE2VCw
voq1y3XFOqc,UCs0upBDG-dCAxy8_VDPE5XA
-cl3Tzx6V_c,UCOgUcv_9DaivXzsN9mcHIzQ
iVTPs_EAdDw,UCTYPI3osBN9nGTSbYGm0rIQ
ugHjvNQdpS0,UCOgUcv_9DaivXzsN9mcHIzQ
rrdfs6i5IjI,UCQL4KlE4YEuZ-qthYHmdStA
L5npLWS_oyU,UCnkVL-hSSxwo97SBet8Ohag
qa6_RHcF_TU,UC22nIfOTM7KLIQuFGMKzQbg
rUTKECQNRVA,UCs0upBDG-dCAxy8_VDPE5XA
sVq9XbcKvYc,UCp0hYYBW6IMayGgR-WeoCvQ
W3TJY_zz4fo,UCOgUcv_9DaivXzsN9mcHIzQ
yOFLskzV0T4,UCqp3z8qbLBkiPWgfBtFadVA
8SlHRT6hmSM,UCKO19yF-1mobWkq3eNFbSoQ
5jQT6_u-PW0,UC1KdVb6D5C0pJqEA8cZPL6Q
MaB6ytfsIBA,UCOgUcv_9DaivXzsN9mcHIzQ
7OyIbcuX1gE,UCxFtm0xWZvpncBy3gOkve3A
av4GKDdphjY,UCFB0_9RUgVmsuxwSGi7mXhw
expUZyTbEyU,UCFB0_9RUgVmsuxwSGi7mXhw
m1D2jEF4LO4,UCqsFtcN8FdSZdMIwuXmtypg
ScLb7d--Uas,UCOgUcv_9DaivXzsN9mcHIzQ
